term,sub_grade,grade,emp_length,issue_y,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,loan_status
36 months,B2,B,7 years,15,39.9,9.17,478.19,43500,2.52,1926,100,3,110000,15000,Fully Paid
36 months,A2,A,< 1 year,15,68.5,6.24,305.31,128072,17.38,5621,100,3,110000,10000,Fully Paid
36 months,D4,D,< 1 year,15,74.3,17.57,575,62995,31.59,3268,100,4,40000,16000,Fully Paid
60 months,F3,F,9 years,15,91.1,24.5,366.15,166644,19.4,19447,100,6,49000,12600,Fully Paid
36 months,B2,B,10+ years,15,56.9,9.49,256.23,257460,10.55,16957,100,1,43000,8000,Fully Paid
60 months,B2,B,10+ years,15,28.4,9.49,682.41,219008,14.81,24007,100,0,65000,32500,Charged Off
36 months,A1,A,2 years,15,32.6,6.03,426.1,79363,19.76,2336,100,3,66825,14000,Fully Paid
36 months,B5,B,5 years,15,50.9,11.49,659.43,86460,31.72,3472,100,3,75000,20000,Fully Paid
36 months,C2,C,9 years,15,83.1,12.69,285.14,117899,11.11,27977,100,1,23232,8500,Fully Paid
60 months,C1,C,3 years,15,63.3,12.29,280.46,108567,29,7765,100,5,77128.87,12525,Charged Off
36 months,C1,C,10+ years,15,79.3,12.29,240.15,55068,11.19,3511,100,4,125000,7200,Fully Paid
36 months,A1,A,< 1 year,15,34.4,5.32,530.03,285027,26.59,12057,63,5,88000,17600,Fully Paid
60 months,E5,E,2 years,15,54.2,20.99,442.91,65352,25.7,6725,100,6,50817,16375,Fully Paid
36 months,C2,C,10+ years,15,53.3,12.69,598.78,357420,22.33,20733,100,6,66900,17850,Fully Paid
60 months,D1,D,< 1 year,15,70,15.61,361.67,37238,21.3,3062,100,3,40000,15000,Fully Paid
36 months,B1,B,7 years,15,74.7,8.18,395.89,47795,14.17,3172,100,5,82800,12600,Charged Off
60 months,C1,C,1 year,15,64.9,12.39,673.27,93018,24.11,2610,100,0,86000,30000,Fully Paid
36 months,A3,A,10+ years,15,32.4,6.99,493.97,129881,22.71,6475,100,6,90000,16000,Fully Paid
36 months,A1,A,< 1 year,15,28.1,5.32,361.38,42242,6.26,2294,100,1,135000,12000,Fully Paid
36 months,B5,B,4 years,15,88,11.53,494.86,32159,23.31,2438,100,0,40000,15000,Fully Paid
36 months,C4,C,10+ years,15,88.7,13.99,843.22,306083,24.31,19390,100,2,67540,24675,Charged Off
36 months,B3,B,1 year,15,85.3,9.99,1129.19,489063,32.59,30265,100,2,125000,35000,Fully Paid
36 months,B1,B,10+ years,15,89.2,8.38,346.64,29391,9.84,7798,100,0,66000,11000,Fully Paid
60 months,B5,B,10+ years,15,23,11.22,524.46,48024,10.3,2971,43,3,65000,24000,Fully Paid
60 months,D2,D,,15,31,16.55,260.88,73901,37.25,1908,100,6,24100,10600,Late (31-120 days)
36 months,B2,B,2 years,15,99.4,9.17,159.4,50862,27.44,4012,100,2,44000,5000,Fully Paid
60 months,D5,D,2 years,15,27,17.86,286.09,34038,25.97,588,100,4,25700,11300,Fully Paid
36 months,A5,A,3 years,15,71.6,7.89,166.6,28329,30.4,2970,100,0,21000,5325,Fully Paid
36 months,C4,C,10+ years,15,91.4,13.99,512.6,114996,20.57,13080,100,6,59000,15000,Charged Off
36 months,B3,B,4 years,15,71.2,9.99,483.94,55408,33.25,4222,100,6,45000,15000,Fully Paid
36 months,C3,C,1 year,15,46.6,13.33,243.75,39880,19.97,2326,100,8,50000,7200,Fully Paid
36 months,A1,A,8 years,15,83,5.32,752.87,2166391,8.76,90668,100,3,385000,25000,Fully Paid
60 months,D4,D,5 years,15,85.9,17.57,880.61,250814,20.77,24850,100,3,110000,35000,Fully Paid
60 months,D4,D,1 year,15,45,17.57,503.21,239141,26.78,12152,100,6,102000,20000,Fully Paid
36 months,B2,B,3 years,15,50,9.17,223.16,11796,3.7,1182,100,4,67000,7000,Fully Paid
36 months,B5,B,3 years,15,95.8,11.53,494.86,100959,10.5,7222,100,2,40000,15000,Fully Paid
36 months,A5,A,10+ years,15,38.6,8.19,314.25,162800,20.86,8416,100,7,57000,10000,Fully Paid
36 months,B2,B,5 years,15,37,9.17,159.4,18900,12.1,865,100,0,25000,5000,Fully Paid
36 months,C2,C,2 years,15,44.5,12.99,505.34,193405,22.12,13202,100,9,70000,15000,Fully Paid
36 months,D2,D,5 years,15,71.1,16.55,1240.03,810456,8.23,76554,100,10,150000,35000,Fully Paid
36 months,B4,B,6 years,15,62,10.99,245.51,44036,29.29,2633,100,7,20000,7500,Fully Paid
36 months,D1,D,9 years,15,42.5,15.61,848.78,55340,8.82,2582,100,2,80000,24275,Fully Paid
36 months,B5,B,4 years,15,70,11.53,329.91,203836,7.77,15421,100,3,55000,10000,Fully Paid
36 months,A4,A,10+ years,15,68.7,6.92,246.73,360220,23.78,16703,100,7,125000,8000,Fully Paid
36 months,B2,B,10+ years,15,11.8,9.17,57.39,215994,11.71,38014,100,3,57000,1800,Fully Paid
36 months,B2,B,3 years,15,85,9.17,159.4,35121,14.35,6482,100,2,50000,5000,Fully Paid
60 months,B3,B,6 years,15,40.8,9.99,254.91,280625,18.38,27192,100,3,70000,12000,Fully Paid
36 months,C4,C,10+ years,15,68.9,13.99,492.09,136252,37.46,8364,100,4,58000,14400,Fully Paid
36 months,B3,B,10+ years,15,70.9,9.99,419.42,53987,20.46,4031,100,4,65000,13000,Charged Off
36 months,B2,B,2 years,15,43,9.17,350.67,242144,24.32,16351,100,10,52500,11000,Fully Paid
36 months,C1,C,10+ years,15,46.3,12.29,280.17,63356,38.69,3157,100,11,42000,8400,Fully Paid
36 months,B1,B,2 years,15,39.3,8.18,628.39,125125,21.15,9228,100,6,120000,20000,Fully Paid
60 months,E2,E,7 years,15,69.7,18.55,472.77,76442,39.05,5159,100,5,50000,18400,Charged Off
36 months,B4,B,10+ years,15,75.1,10.99,333.89,171763,33.46,10844,100,3,42000,10200,Fully Paid
36 months,C1,C,10+ years,15,54.8,12.29,733.77,505346,30.63,30841,100,9,98000,22000,Fully Paid
36 months,B2,B,10+ years,15,69.5,9.17,637.58,311483,17.96,8652,100,2,79000,20000,Fully Paid
60 months,C4,C,1 year,15,79.4,13.99,674.63,146050,9.46,25002,100,2,70500,29000,Fully Paid
36 months,A1,A,< 1 year,15,31,5.32,346.32,78496,29.28,2187,100,5,38000,11500,Fully Paid
36 months,A5,A,2 years,15,82.4,7.89,281.58,20048,8.07,2369,100,1,110000,9000,Fully Paid
60 months,D1,D,4 years,15,65.3,15.61,361.67,494488,18.56,33863,100,7,99500,15000,Fully Paid
36 months,B1,B,9 years,15,48.6,8.18,471.3,356567,18.21,24239,100,2,110000,15000,Charged Off
36 months,A1,A,1 year,15,31.5,5.32,301.15,204500,3.95,45256,100,1,65000,10000,Fully Paid
36 months,C1,C,4 years,15,13.5,12.29,166.77,48045,30.06,2770,100,7,40000,5000,Fully Paid
36 months,A1,A,10+ years,15,31,5.32,662.53,554606,25.53,26914,77,7,125000,22000,Fully Paid
36 months,A5,A,7 years,15,39.3,7.89,125.15,90576,20.41,3864,100,2,61400,4000,Fully Paid
36 months,B1,B,3 years,15,37.2,8.18,188.52,31171,26.44,1098,100,8,34000,6000,Fully Paid
60 months,C1,C,10+ years,15,74.6,12.29,335.87,50726,31.74,1765,100,4,45000,15000,Charged Off
36 months,A5,A,,15,54.6,8.19,204.26,12750,23.36,1606,100,4,17160,6500,Charged Off
60 months,B2,B,10+ years,15,48.9,9.17,416.82,48452,16.32,3364,100,3,60000,20000,Charged Off
36 months,A4,A,2 years,15,20.2,7.49,186.61,89290,33.41,4086,100,4,30000,6000,Fully Paid
36 months,A3,A,1 year,15,69,6.89,616.54,46908,10.88,4358,56,2,110000,20000,Fully Paid
60 months,B4,B,8 years,15,42.2,10.99,434.75,190915,20.08,9712,100,3,56000,20000,Fully Paid
36 months,A5,A,10+ years,15,71.6,7.89,281.58,22200,2.12,3973,100,3,103000,9000,Fully Paid
36 months,B5,B,10+ years,15,69.3,11.99,481.54,290692,14.71,32118,100,1,100000,14500,Fully Paid
36 months,B2,B,1 year,15,44.2,9.49,640.57,279925,24.63,16385,100,5,61000,20000,Fully Paid
36 months,B4,B,3 years,15,62,10.99,321.62,217475,37.53,18683,100,1,33000,9825,Fully Paid
36 months,C4,C,2 years,15,34.9,13.99,410.08,321713,18.04,10041,100,15,60000,12000,Fully Paid
60 months,C1,C,5 years,15,72.2,12.29,250.79,82846,22.44,9204,100,1,50000,11200,Fully Paid
36 months,C1,C,< 1 year,15,67.8,12.05,265.91,26706,21.19,1489,100,4,26000,8000,Charged Off
36 months,B3,B,7 years,15,45,9.99,309.72,15750,5.25,888,100,5,56000,9600,Fully Paid
36 months,B2,B,2 years,15,23.9,9.17,127.52,84554,14.54,3962,100,5,65000,4000,Fully Paid
36 months,A4,A,5 years,15,97.5,7.26,495.94,74639,19.59,5759,100,2,93000,16000,Fully Paid
36 months,A2,A,8 years,15,34.4,6.24,519.03,223735,21.12,15734,100,4,57000,17000,Fully Paid
36 months,A4,A,10+ years,15,48.9,7.26,929.89,243492,13.48,8594,100,3,136000,30000,Fully Paid
36 months,A3,A,3 years,15,38.3,6.89,616.54,92037,3.02,5446,100,2,150000,20000,Fully Paid
36 months,C5,C,10+ years,15,60.2,14.65,137.98,84813,30.62,6562,100,5,35000,4000,Fully Paid
60 months,D4,D,2 years,15,34.3,17.57,377.41,59384,19.52,2463,100,10,42900,15000,Charged Off
60 months,C2,C,10+ years,15,92.6,12.69,677.85,79094,26.01,4677,100,2,94000,30000,Charged Off
36 months,B4,B,3 years,15,62.3,10.64,553.67,448705,20.4,60654,77,4,89000,17000,Fully Paid
60 months,C5,C,10+ years,15,77.8,14.65,566.56,39467,18.02,1792,100,11,75000,24000,Charged Off
36 months,B2,B,,15,54.5,9.17,239.1,148400,17.76,3395,100,3,50000,7500,Fully Paid
36 months,C2,C,9 years,15,81.8,12.69,603.81,94903,39.39,5033,100,3,50000,18000,Fully Paid
36 months,A1,A,4 years,15,24.2,5.32,511.96,232182,25.72,15085,100,2,60000,17000,Fully Paid
36 months,A4,A,8 years,15,48,6.92,863.54,570483,4.86,38278,100,6,600000,28000,Fully Paid
36 months,C1,C,10+ years,15,42,12.29,200.12,14747,4.87,716,100,7,55000,6000,Fully Paid
36 months,A4,A,10+ years,15,49.9,7.49,233.27,75300,8.55,4063,100,5,40000,7500,Fully Paid
36 months,A5,A,10+ years,15,31.5,7.89,187.72,209636,9.64,17750,100,4,67000,6000,Fully Paid
60 months,C2,C,5 years,15,28.6,12.59,225.44,49106,20.68,3194,100,5,30000,10000,Charged Off
60 months,B1,B,9 years,15,19,8.67,350.18,94500,6.78,1799,100,3,48000,17000,Charged Off
36 months,B3,B,7 years,15,42.6,9.99,258.1,59100,24.12,2138,100,8,70000,8000,Fully Paid
36 months,A1,A,2 years,15,6,5.32,337.29,227197,14.79,20085,34,3,82500,11200,Fully Paid
36 months,A1,A,2 years,15,56,5.32,267.27,296911,17.06,17978,100,0,80000,8875,Fully Paid
36 months,B4,B,10+ years,15,70.1,10.99,281.52,275018,33.41,12385,100,3,76000,8600,Fully Paid
36 months,B4,B,7 years,15,54.6,10.99,72.02,29743,13.64,1809,100,3,50065,2200,Fully Paid
60 months,E3,E,< 1 year,15,96.3,19.19,739.04,176036,37.34,13527,100,4,60000,28375,Fully Paid
36 months,D1,D,3 years,15,35.3,15.77,224.28,47700,13,3797,64,7,51716,6400,Fully Paid
36 months,D1,D,10+ years,15,14,15.61,750.87,142579,14.99,8448,100,8,65000,21475,Charged Off
36 months,B5,B,10+ years,15,49.3,11.53,316.71,42366,22.51,1369,100,12,37000,9600,Fully Paid
60 months,B1,B,8 years,15,21.4,8.18,407.26,112743,15.52,8497,100,1,76000,20000,Fully Paid
36 months,B3,B,4 years,15,72.2,9.76,385.86,50800,10.6,3712,100,1,55000,12000,Fully Paid
36 months,D5,D,,15,85.5,17.86,288.66,10600,30.61,1007,100,5,19608,8000,Charged Off
60 months,D1,D,2 years,15,54.7,15.59,843.53,285730,22.3,9650,100,2,95000,35000,Fully Paid
36 months,A1,A,10+ years,15,27.6,5.32,240.92,196880,3.01,18256,100,1,81000,8000,Fully Paid
60 months,B3,B,10+ years,15,50,9.99,318.64,45900,19.01,4589,100,1,45447,15000,Fully Paid
36 months,B3,B,10+ years,15,58.7,9.99,542.01,183737,20.97,13911,100,5,95000,16800,Fully Paid
60 months,D2,D,10+ years,15,36.2,16.55,467.62,111500,8.67,11424,100,7,51380.4,19000,Fully Paid
36 months,B5,B,2 years,15,27.2,11.53,230.94,42230,11.58,1283,100,8,45000,7000,Fully Paid
36 months,A4,A,7 years,15,43.5,6.92,154.21,75620,14.89,8741,100,2,78000,5000,Fully Paid
36 months,B1,B,10+ years,15,62.2,8.18,691.23,88482,30.06,3203,100,2,64000,22000,Fully Paid
36 months,C1,C,10+ years,15,56.4,12.29,240.15,51626,24.8,4411,100,7,36000,7200,Fully Paid
60 months,B3,B,10+ years,15,13.7,9.99,382.36,392888,15.83,12168,100,10,105000,18000,Fully Paid
36 months,A1,A,6 years,15,71.8,5.32,361.38,113734,16.42,8144,100,0,95000,12000,Fully Paid
36 months,B3,B,5 years,15,45.7,9.99,483.94,67730,32.4,2781,100,0,36000,15000,Fully Paid
36 months,C2,C,< 1 year,15,72.2,12.69,187.02,288623,6.29,54983,100,2,115000,5575,Fully Paid
60 months,C5,C,10+ years,15,74,14.65,236.07,74193,23.43,5488,100,7,65000,10000,Fully Paid
60 months,E4,E,8 years,15,57.2,19.99,397.33,248457,19.07,14317,100,9,80000,15000,Charged Off
36 months,C3,C,10+ years,15,47.8,13.33,270.83,9262,14.49,738,100,4,40000,8000,Fully Paid
36 months,B3,B,10+ years,15,61.1,9.99,1129.19,463469,29.19,21494,100,8,92000,35000,Fully Paid
36 months,A4,A,< 1 year,15,46.5,7.26,1084.87,455052,12.06,59447,100,2,190000,35000,Fully Paid
36 months,A1,A,10+ years,15,33.6,5.32,180.69,122808,17.6,9649,100,1,45000,6000,Fully Paid
36 months,B2,B,10+ years,15,73.1,9.17,1115.77,487871,19.75,30794,100,1,130679.28,35000,Fully Paid
60 months,C1,C,10+ years,15,69.8,12.29,783.7,727306,13.61,47063,100,4,236540,35000,Fully Paid
36 months,D2,D,,15,29.9,16.55,277.24,200415,37.44,22587,100,4,46000,7825,Fully Paid
36 months,B1,B,6 years,15,37.8,8.18,314.2,211310,11.99,9294,100,6,85000,10000,Fully Paid
36 months,A2,A,3 years,15,58.5,6.24,457.97,105051,23.45,10129,100,3,46000,15000,Fully Paid
60 months,C2,C,10+ years,15,73,12.69,587.47,120365,15.23,9883,100,5,64000,26000,Fully Paid
36 months,A1,A,10+ years,15,29.3,5.32,507.44,257018,19.08,14563,100,2,60000,16850,Fully Paid
60 months,E4,E,10+ years,15,72.3,20.49,749.49,50000,9.82,5167,100,4,80000,28000,Fully Paid
36 months,D4,D,1 year,15,0,17.14,399.2,89309,31.69,11513,100,1,35000,11175,Fully Paid
36 months,A1,A,1 year,15,51.1,5.32,289.11,324515,16.46,27424,100,1,75000,9600,Fully Paid
36 months,D1,D,1 year,15,54,15.61,332.17,60957,19.8,4613,100,10,77230,9500,Fully Paid
36 months,B4,B,4 years,15,25.6,10.99,283.97,189079,35.01,18580,100,6,40000,8675,Charged Off
36 months,B1,B,10+ years,15,52.2,8.18,534.14,45500,15.12,1826,100,3,45000,17000,Fully Paid
36 months,A3,A,< 1 year,15,66,6.68,737.55,76800,15.01,2847,100,5,85000,24000,Fully Paid
36 months,A1,A,3 years,15,64.3,5.32,451.73,75107,16.92,4551,100,5,60000,15000,Fully Paid
36 months,B3,B,8 years,15,62.6,9.99,161.32,24864,29.22,1743,100,5,35000,5000,Charged Off
36 months,A1,A,10+ years,15,19.6,6.03,760.89,437413,23.33,11552,100,6,98000,25000,Fully Paid
36 months,A1,A,3 years,15,28.7,5.32,602.3,173949,5.64,11182,100,1,95000,20000,Fully Paid
36 months,C3,C,10+ years,15,38.3,13.33,135.42,92791,34.37,4998,100,5,42000,4000,Fully Paid
36 months,C2,C,9 years,15,71.7,12.69,335.45,297431,24.18,14177,100,7,82000,10000,Fully Paid
36 months,C4,C,4 years,15,96,13.99,494.66,35500,22.89,3786,100,1,55000,14475,Fully Paid
36 months,C2,C,7 years,15,52,12.69,167.73,56281,29,5481,100,2,30000,5000,Charged Off
36 months,B1,B,6 years,15,71.7,8.18,628.39,74932,23.96,6021,100,5,54000,20000,Fully Paid
36 months,B5,B,7 years,15,51.6,11.53,613.62,603222,21.58,29705,100,8,95000,18600,Fully Paid
36 months,E1,E,10+ years,15,55.4,18.25,1269.73,205678,27.9,10243,100,10,75000,35000,Charged Off
36 months,B1,B,10+ years,15,30.8,8.18,402.17,518624,33.97,19019,100,14,97000,12800,Fully Paid
36 months,B3,B,< 1 year,15,47.7,9.99,129.05,16100,11.36,923,100,3,30000,4000,Fully Paid
36 months,D1,D,7 years,15,49.7,15.61,520.11,23300,11.25,1153,100,7,68515,14875,Fully Paid
36 months,A5,A,3 years,15,46.7,7.89,312.86,227883,21.2,18395,100,3,36000,10000,Fully Paid
36 months,D4,D,10+ years,15,86.6,17.57,898.43,76172,29.93,3271,100,9,98000,25000,Charged Off
36 months,A3,A,2 years,15,63.5,6.68,645.36,89101,18.54,3462,100,4,80000,21000,Fully Paid
36 months,C2,C,10+ years,15,48.4,12.59,483.2,346560,5.72,24167,58,3,220000,14425,Fully Paid
36 months,B4,B,,15,42,10.99,196.41,153911,38.38,8234,100,7,41000,6000,Charged Off
60 months,B5,B,4 years,15,43,11.22,218.53,17600,5.07,1261,100,4,31000,10000,Charged Off
36 months,B5,B,10+ years,15,71.1,11.53,197.95,58600,29.92,5951,100,0,45000,6000,Fully Paid
36 months,C3,C,< 1 year,15,83.3,13.33,1184.86,237631,17.19,16856,100,3,179000,35000,Fully Paid
36 months,D3,D,8 years,15,80,16.99,320.83,35875,34.47,2299,100,14,32000,9000,Charged Off
36 months,B5,B,9 years,15,83.1,11.53,1154.66,372693,11.9,29474,100,1,176000,35000,Fully Paid
36 months,A5,A,4 years,15,56.9,7.89,876,603409,17.38,29788,100,6,165000,28000,Fully Paid
36 months,C1,C,10+ years,15,99,12.29,466.95,60700,27,19931,100,2,36000,14000,Charged Off
36 months,A5,A,10+ years,15,61.4,7.89,876,111398,25.44,7834,63,1,70000,28000,Fully Paid
36 months,C1,C,6 years,15,72.5,12.29,443.6,16374,9.32,1895,100,8,40000,13300,Charged Off
36 months,A4,A,1 year,15,79.4,6.92,863.54,482891,13.86,39453,100,3,189000,28000,Fully Paid
36 months,C1,C,10+ years,15,44.8,11.99,1162.34,91956,24.92,3247,100,5,109600,35000,Charged Off
36 months,A4,A,10+ years,15,61.1,7.26,260.37,143727,14.32,14389,100,2,56000,8400,Fully Paid
36 months,A4,A,3 years,15,13.9,7.26,449.45,74309,21.2,1939,100,4,45000,14500,Fully Paid
36 months,D1,D,4 years,15,85.8,15.61,447.55,66043,38.28,7967,100,6,40000,12800,Fully Paid
36 months,A2,A,10+ years,15,48.5,6.39,642.58,305600,15.58,29477,100,3,60000,21000,Fully Paid
60 months,B3,B,10+ years,15,38.2,10.49,429.78,51407,19.04,1670,100,6,99000,20000,Fully Paid
60 months,D5,D,10+ years,15,89.4,17.86,886.11,224842,27.52,12361,100,3,96000,35000,Fully Paid
36 months,A5,A,,15,57.4,7.89,625.72,41300,15.38,3386,100,2,53000,20000,Fully Paid
36 months,A5,A,4 years,15,57.8,7.89,469.29,114423,16.28,6291,100,3,150000,15000,Fully Paid
36 months,B5,B,10+ years,15,86.5,11.99,376.1,405446,34.55,46439,100,6,69200,11325,Fully Paid
36 months,B4,B,6 years,15,82.1,11.44,658.95,75523,27.74,4322,100,1,70000,20000,Fully Paid
60 months,A5,A,8 years,15,37.1,8.19,407.35,211932,10.46,17608,100,1,73000,20000,Charged Off
36 months,A5,A,< 1 year,15,70.6,7.89,782.15,84321,13.35,8326,100,0,125000,25000,Charged Off
36 months,B3,B,9 years,15,44.1,9.99,161.32,188697,22.34,22626,100,3,60000,5000,Charged Off
36 months,A3,A,10+ years,15,22.7,6.68,261.22,195170,13.6,13794,100,3,55000,8500,Fully Paid
36 months,A2,A,8 years,15,55.3,6.39,367.19,206588,26.1,6916,100,8,110000,12000,Fully Paid
60 months,B4,B,9 years,15,1.7,10.99,434.75,208500,0.81,30,100,0,74000,20000,Fully Paid
36 months,A5,A,10+ years,15,24.3,7.89,500.58,45052,16.46,2808,100,5,70000,16000,Fully Paid
36 months,B3,B,7 years,15,40.2,9.99,161.32,365693,9.39,39266,100,3,46000,5000,Fully Paid
36 months,A5,A,1 year,15,36.8,7.89,938.57,301407,5.35,23194,100,1,175000,30000,Fully Paid
36 months,A4,A,3 years,15,59.6,7.26,595.13,54575,15.93,3604,100,6,85000,19200,Fully Paid
36 months,A3,A,10+ years,15,23,6.89,215.79,413978,25.02,32258,100,4,75000,7000,Fully Paid
36 months,B5,B,7 years,15,52.1,11.53,329.91,56531,22.28,3910,100,7,48000,10000,Fully Paid
60 months,C4,C,,15,99.8,13.99,767.69,86315,23.67,10146,100,3,114648,33000,Fully Paid
36 months,A2,A,< 1 year,15,26,6.39,305.99,361400,10.47,27307,100,3,40000,10000,Fully Paid
36 months,A5,A,< 1 year,15,72.4,8.19,351.95,130552,18.52,17881,100,2,55000,11200,Fully Paid
36 months,C2,C,< 1 year,15,29.2,12.99,269.52,116898,11.25,5824,100,7,40000,8000,Fully Paid
36 months,B5,B,3 years,15,31,11.53,329.91,103279,22.67,3618,100,13,65000,10000,Fully Paid
36 months,A2,A,10+ years,15,14.6,6.39,636.46,213384,23.52,18353,100,5,59000,20800,Fully Paid
60 months,B2,B,10+ years,15,15.5,9.17,416.82,51700,21.18,1159,100,8,63000,20000,Fully Paid
36 months,E2,E,4 years,15,54.2,18.55,765.01,71800,23.36,3709,100,9,50000,21000,Fully Paid
36 months,B4,B,10+ years,15,61.8,10.99,654.68,442203,16.34,23566,100,9,92000,20000,Fully Paid
36 months,A2,A,6 years,15,6.5,6.24,457.97,166871,4.15,10338,100,9,70000,15000,Fully Paid
36 months,A2,A,10+ years,15,58.1,6.24,274.78,216475,13.27,15560,100,3,48000,9000,Fully Paid
36 months,B1,B,10+ years,15,76.4,8.18,1099.69,327917,19.79,11953,100,2,150000,35000,Fully Paid
36 months,B4,B,< 1 year,15,73.6,10.99,278.24,192119,33.21,13547,100,5,40000,8500,Charged Off
60 months,B3,B,8 years,15,70.8,9.99,212.43,34694,10.95,4015,100,3,60000,10000,Fully Paid
36 months,A1,A,6 years,15,32.4,6.03,243.49,74091,12.23,5640,100,1,42000,8000,Fully Paid
36 months,C3,C,< 1 year,15,52.7,13.33,406.24,72890,12.64,4099,100,11,108000,12000,Fully Paid
36 months,C5,C,,15,17,14.65,149.19,22600,7.55,384,100,9,17614,4325,Fully Paid
60 months,D1,D,10+ years,15,55.5,15.61,289.34,36222,12.26,2754,100,11,70000,12000,Charged Off
36 months,C2,C,10+ years,15,99,12.59,723.54,91367,26.11,11506,100,3,74000,21600,Charged Off
36 months,B4,B,5 years,15,86.6,10.99,687.42,132211,33.3,12178,100,4,100000,21000,Fully Paid
36 months,A1,A,10+ years,15,65.7,5.93,455.86,21600,8.43,3547,100,0,50000,15000,Fully Paid
60 months,C3,C,10+ years,15,78.8,13.33,322.64,153242,11.25,23177,100,0,32000,14075,Charged Off
36 months,D2,D,2 years,15,79.9,16.55,531.44,172050,25.39,9618,100,6,71000,15000,Fully Paid
36 months,B2,B,3 years,15,64.5,9.17,350.67,31192,14.17,3029,100,2,52000,11000,Fully Paid
36 months,B3,B,10+ years,15,56,9.99,193.58,12758,6.69,739,100,2,70000,6000,Charged Off
36 months,A5,A,7 years,15,31.1,8.19,754.18,145405,23.86,7560,100,7,97500,24000,Fully Paid
36 months,C2,C,,15,41.4,12.69,150.96,20500,18.84,2120,100,4,13000,4500,Fully Paid
36 months,B3,B,< 1 year,15,29.9,9.99,329.08,24541,5.86,1447,100,3,75000,10200,Fully Paid
36 months,C5,C,7 years,15,40.2,14.99,554.57,1020847,23.85,88061,100,4,123000,16000,Fully Paid
36 months,A5,A,2 years,15,90.1,7.89,844.72,768129,7.71,67427,100,4,85000,27000,Fully Paid
36 months,A5,A,1 year,15,66,7.89,187.72,20800,9.06,1961,100,3,44000,6000,Fully Paid
60 months,D2,D,1 year,15,76.5,16.55,590.68,202878,25.47,6745,100,15,130000,24000,Charged Off
60 months,B5,B,10+ years,15,24.1,11.53,429.15,320831,19.26,15907,100,6,103000,19500,Fully Paid
36 months,B5,B,10+ years,15,65.3,11.53,329.91,111044,22.12,10662,100,2,30000,10000,Fully Paid
60 months,B3,B,10+ years,15,73.5,9.99,392.98,195521,18.19,24801,100,1,59000,18500,Charged Off
36 months,B1,B,< 1 year,15,82,8.18,471.3,464000,9.78,39693,100,2,130000,15000,Fully Paid
36 months,B2,B,3 years,15,31.4,9.17,306.04,66247,14.81,4628,70,5,98000,9600,Fully Paid
36 months,A3,A,6 years,15,80,6.89,863.16,739930,13.29,44196,80,7,180000,28000,Fully Paid
36 months,B2,B,10+ years,15,93.6,9.17,318.79,348460,18.81,25792,100,2,95000,10000,Fully Paid
36 months,C2,C,3 years,15,54.9,12.69,670.06,350000,14.56,24222,100,3,60000,19975,Fully Paid
36 months,B5,B,1 year,15,74,11.53,494.86,17200,8.42,979,100,2,66000,15000,Fully Paid
36 months,A2,A,3 years,15,14.6,6.39,293.76,49468,6.52,605,100,3,60000,9600,Fully Paid
36 months,B2,B,2 years,15,46.1,9.49,192.17,9800,5.88,564,100,4,40000,6000,Fully Paid
36 months,B3,B,,15,46.7,9.99,935.62,224087,36.29,11557,100,4,71000,29000,Fully Paid
36 months,A1,A,2 years,15,32,5.32,782.99,1015959,10,91861,32,5,181000,26000,Fully Paid
36 months,B4,B,1 year,15,30.7,10.99,108.85,238277,10.27,17609,100,3,50000,3325,Fully Paid
36 months,D1,D,< 1 year,15,83.8,15.41,104.6,51907,24,5051,97,2,30000,3000,Fully Paid
36 months,B3,B,8 years,15,46.5,9.99,483.94,241533,11.63,18157,100,2,72000,15000,Fully Paid
36 months,C2,C,10+ years,15,44,12.69,186.18,380426,13.36,21514,100,4,75000,5550,Fully Paid
36 months,B1,B,3 years,15,86.8,8.67,522.17,83724,17.06,5863,100,5,96000,16500,Fully Paid
36 months,B2,B,6 years,15,52.4,9.17,318.79,263358,19,33953,100,2,53000,10000,Fully Paid
36 months,A3,A,10+ years,15,18.1,6.89,277.45,190483,16.69,12634,100,2,55000,9000,Fully Paid
36 months,A1,A,2 years,15,17.9,5.32,602.3,383203,14.23,13093,100,7,83000,20000,Fully Paid
36 months,C4,C,3 years,15,60.5,14.31,343.29,24000,16.3,2421,100,1,33748,10000,Fully Paid
36 months,A1,A,10+ years,15,46.8,5.32,602.3,363628,5.79,23606,100,2,120000,20000,Fully Paid
36 months,D1,D,1 year,15,29.3,15.61,244.76,35391,11.16,2744,100,7,40000,7000,Charged Off
36 months,B2,B,10+ years,15,33.4,9.17,306.04,183502,4.71,22562,100,2,56000,9600,Fully Paid
36 months,A5,A,3 years,15,41.1,7.89,800.92,97068,22.09,4068,100,4,65000,25600,Fully Paid
60 months,C3,C,9 years,15,82.5,13.33,546.13,166990,26.28,15808,100,2,47676,23825,Fully Paid
36 months,B5,B,8 years,15,52.3,11.53,223.51,61165,16.58,6108,100,4,44000,6775,Fully Paid
36 months,A4,A,,15,48.2,7.49,1088.56,232456,24.05,17907,100,1,78000,35000,Fully Paid
36 months,C5,C,10+ years,15,70.2,14.65,689.89,64322,35.56,1626,100,7,52227,20000,Fully Paid
